"Count","Name"
"35","tests/integration/test_phase3e_mvp_close.py"
"30","tests/integration/test_phase5a_hardening.py"
"26","tests/integration/test_phase6_production.py"
"26","tests/integration/test_phase3c_documents.py"
"25","tests/integration/test_phase4c_timeline.py"
"24","tests/integration/test_phase7d_envelope_encryption.py"
"24","tests/integration/test_phase7e_envelope_integration.py"
"23","tests/integration/test_phase5c_verification.py"
"22","tests/integration/test_phase4b_bundle.py"
"22","tests/brain/test_brain.py"
"22","tests/integration/test_phase3d_paid_handoff.py"
"21","tests/ingestion/test_ingestion.py"
"20","tests/test_onboarding.py"
"20","tests/knowledge_graph/test_knowledge_graph.py"
"20","tests/test_auth_db.py"
"17","tests/e2e/test_t010_cross_user_rls_e2e.py"
"17","tests/rag/test_rag.py"
"17","tests/integration/test_phase4a_upload_ocr.py"
"15","tests/integration/test_phase5b_unpaid_wages.py"
"15","tests/retrieval/test_retrieval.py"
"14","tests/test_rules_integrity.py"
"14","tests/auth/test_auth_password.py"
"13","tests/integration/test_phase6a_deployment.py"
"13","tests/legal_accuracy/test_legal_accuracy.py"
"12","tests/integration/test_phase2_engine.py"
"12","tests/integration/test_phase6e_prelaunch.py"
"11","tests/integration/test_phase2d_hardening.py"
"11","tests/graph_rag/test_graph_rag.py"
"10","tests/integration/test_retrieve_rules.py"
"10","tests/test_assess_orchestrator.py"
"10","tests/test_beta_blockers.py"
"10","tests/test_legal_db_indexes.py"
"9","tests/integration/test_phase6b_beta_readiness.py"
"9","tests/integration/test_rules_deadline_phase1.py"
"9","tests/test_integration_tools.py"
"9","tests/test_auth_flows.py"
"9","tests/integration/test_phase3b_deadline.py"
"8","tests/integration/test_phase6c_jwt.py"
"7","tests/test_jurisdiction_fail_closed.py"
"7","tests/uploads/test_uploads.py"
"7","tests/integration/test_phase8b_algorithm_brain.py"
"7","tests/integration/test_phase2e_audit_log.py"
"6","tests/mcp/test_mcp.py"
"6","tests/test_autonomous_ingestion.py"
"6","tests/security/test_auth_routes.py"
"5","tests/integration/test_phase2c_regression.py"
"5","tests/integration/test_phase7c_aws_kms.py"
"5","tests/integration/test_phase7b_kms.py"
"5","tests/auth/test_auth_oauth.py"
"5","tests/test_hybrid_search.py"
"5","tests/test_email_password.py"
"5","tests/test_constructive_dismissal.py"
"4","tests/test_compensation.py"
"4","tests/test_magic_link.py"
"4","tests/test_outbox.py"
"4","tests/test_outbox_worker.py"
"4","tests/integration/test_rules_canonical.py"
"4","tests/auth/test_auth_magic_link.py"
"4","tests/integration/test_phase6d_compliance.py"
"3","tests/test_temporal_graph.py"
"3","tests/test_mother_controller.py"
"3","tests/test_ingestion_run_tracking.py"
"3","tests/scale/test_t010_rls_scale.py"
"3","tests/test_evolution_gate.py"
"3","tests/integration/test_phase3a_flows.py"
"3","tests/security/test_encryption.py"
"3","tests/test_legacy_route_parity.py"
"3","tests/test_retrieval_jurisdiction_and_provenance.py"
"3","tests/test_corpus_citation_guard.py"
"3","tests/memory/test_memory.py"
"3","tests/test_services_health.py"
"3","tests/test_claim_checker.py"
"3","tests/test_sovereign_pipeline.py"
"2","tests/test_reasoning_routes.py"
"2","tests/document_intelligence/test_document_intelligence.py"
"2","tests/test_materialized_current_chunks.py"
"2","tests/test_login_gate.py"
"2","tests/payment/test_payment.py"
"2","tests/test_local_ollama_only_policy.py"
"2","tests/integration/test_phase11_auth_routes.py"
"2","tests/integration/test_pipeline_stub.py"
"2","tests/test_integrity_framework.py"
"2","tests/integration/test_brain_gatekeeper.py"
"2","tests/security/test_payment_access.py"
"2","tests/test_corpus_quality_views.py"
"2","tests/test_i18n_api.py"
"2","tests/test_legal_sources_integrity.py"
"2","tests/test_distributed_service_contracts.py"
"1","tests/test_brain_outbox.py"
"1","tests/test_agentic_foundation_phase1.py"
"1","tests/test_deadline_rules_audit.py"
"1","tests/documents/test_documents.py"
"1","tests/test_no_hardcoded_legal_values.py"
"1","tests/test_mother_language_integration.py"
"1","tests/ingestion/test_rag_corpus_citations.py"
"1","tests/test_knowledge_proposals.py"
"1","tests/test_payment_confirm_test_route.py"
"1","tests/test_evidence_intake.py"
